pl_name,discoverymethod,disc_year,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_dens,hostname,sy_dist,st_mass,st_spectype,st_lum,st_teff,st_met,st_age
K2-158 b,Transit,2018,0,10.06049,2.64,7.46,2.23,K2-158,197.299,0.92,,-0.163,5503.0,0.07,
K2-239 d,Transit,2018,0,10.115,1.1,1.37,5.66,K2-239,31.0849,0.4,M3.0 V,-1.796,3420.0,-0.1,
Kepler-1748 b,Transit,2021,0,5.82352018,2.713,7.8100000000000005,2.15,Kepler-1748,1083.28,0.92,,-0.35000000000000003,5774.0,-0.22,
Kepler-1754 b,Transit,2021,0,8.19594955,2.44,6.53,2.4699999999999998,Kepler-1754,718.945,0.73,,-0.612,4723.0,0.08,
K2-37 b,Transit,2016,0,4.44117,1.6099999999999999,3.22,4.24,K2-37,179.943,0.9,G3 V,-0.46900000000000003,5413.0,-0.03,
TOI-237 b,Transit,2020,0,5.436098,1.44,2.67,4.91,TOI-237,38.0749,0.18,M4.5 V,-2.387,3212.0,,4.5
HD 23472 f,Transit,2022,0,12.1621839,1.137,0.77,3.0,HD 23472,39.0341,0.67,K4 V,-0.625,4684.0,-0.2,
TOI-5398 b,Transit,2022,0,10.590923,11.657,,,TOI-5398,130.855,1.11,,0.117,6017.1,0.13,
HATS-63 b,Transit,2018,0,3.0566527,13.529,305.1168,0.6699999999999999,HATS-63,623.232,0.93,,0.012,5627.0,0.081,10.3
Kepler-11 g,Transit,2010,0,118.3807,3.33,25.0,4.0,Kepler-11,646.346,0.96,,0.12,5663.0,0.04,8.5
K2-16 c,Transit,2015,0,19.07863,2.54,6.99,2.34,K2-16,334.967,0.68,K3 V,-0.761,4742.0,-0.33,
K2-172 c,Transit,2018,0,29.62682,3.206,10.4,1.73,K2-172,249.742,0.93,,-0.202,5569.0,-0.06,
K2-176 b,Transit,2018,0,5.329439,1.491,2.83,4.6899999999999995,K2-176,247.302,0.9400000000000001,,-0.34800000000000003,5428.0,0.15,
K2-37 d,Transit,2016,0,14.09189,2.73,7.9,2.13,K2-37,179.943,0.9,G3 V,-0.46900000000000003,5413.0,-0.03,
K2-187 c,Transit,2018,0,2.871512,1.4,2.54,5.09,K2-187,330.916,0.97,,-0.21,5438.0,0.0,
